seed,dgp,model_key,model,obj_nll,obj_prob_mse,obj_prob_mae,mo_nll,mo_prob_mse,mo_prob_mae,decision_regret,learned_b_global,learned_b_obj0,scorer_noise_sigma0,learned_b_obj1,scorer_noise_sigma1,learned_b_obj2,scorer_noise_sigma2
7,equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,0.6326294213324477,0.014799332180135157,0.098761603059687,0.6566956592348431,0.01030310740784035,0.07943092445381822,0.16564280462076802,-0.6034910678863525,-0.5510272979736328,0.7,-0.6821451187133789,0.7,-0.574312686920166,0.7
7,equal_noise_control,oracle,Oracle latent utility,,,,0.6338666538168526,0.0,0.0,0.0,-0.6034910678863525,-0.5510272979736328,0.7,-0.6821451187133789,0.7,-0.574312686920166,0.7
8,equal_noise_control,standard,Standard scalarized BT,0.6486421725374562,0.019436764286748478,0.10979250556235544,0.6611799434693197,0.01364667226536628,0.09201466513832467,0.16952192515573958,-0.48042047023773193,-0.48624682426452637,0.7,-0.4843848645687103,0.7,-0.46857401728630066,0.7
8,equal_noise_control,shared_precision,Shared-precision BT,0.6321565875318946,0.014454644750131088,0.09656700366422763,0.6527854638065763,0.010565347129965728,0.08038332381224692,0.16952192515573958,-0.48042047023773193,-0.48624682426452637,0.7,-0.4843848645687103,0.7,-0.46857401728630066,0.7
8,equal_noise_control,pcma_normalized,PCMA-normalized scalarization,,,,0.6611777404759732,0.01364260654533245,0.09199708044199308,0.16965044418997904,-0.48042047023773193,-0.48624682426452637,0.7,-0.4843848645687103,0.7,-0.46857401728630066,0.7
8,equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,0.6321705215668262,0.01445489656820162,0.09655972564093245,0.652785668848154,0.010561095005473926,0.08036062504742969,0.16965044418997904,-0.48042047023773193,-0.48624682426452637,0.7,-0.4843848645687103,0.7,-0.46857401728630066,0.7
8,equal_noise_control,oracle,Oracle latent utility,,,,0.6303470896503962,0.0,0.0,0.0,-0.48042047023773193,-0.48624682426452637,0.7,-0.4843848645687103,0.7,-0.46857401728630066,0.7
9,equal_noise_control,standard,Standard scalarized BT,0.6415965983476198,0.01962086075222181,0.11054863925427105,0.6615606248023216,0.013839143487863885,0.09243890609679417,0.169048337871519,-0.4885476529598236,-0.580868661403656,0.7,-0.34175315499305725,0.7,-0.5368578433990479,0.7
9,equal_noise_control,shared_precision,Shared-precision BT,0.6279849458746838,0.014708645170093916,0.09764508758143253,0.6530603014560258,0.01078345321967113,0.0812440607528302,0.169048337871519,-0.4885476529598236,-0.580868661403656,0.7,-0.34175315499305725,0.7,-0.5368578433990479,0.7
9,equal_noise_control,pcma_normalized,PCMA-normalized scalarization,,,,0.6617576593740784,0.01392331064363477,0.0927450609122387,0.17014917683129116,-0.4885476529598236,-0.580868661403656,0.7,-0.34175315499305725,0.7,-0.5368578433990479,0.7
9,equal_noise_control,confidence_preserving_pcma,Confidence-preserving PCMA,0.6283497012509424,0.014919626287407013,0.09832917816585621,0.6534038198459416,0.010909829037649484,0.08180551486930068,0.17014917683129116,-0.4885476529598236,-0.580868661403656,0.7,-0.34175315499305725,0.7,-0.5368578433990479,0.7
9,equal_noise_control,oracle,Oracle latent utility,,,,0.6307336208674373,0.0,0.0,0.0,-0.4885476529598236,-0.580868661403656,0.7,-0.34175315499305725,0.7,-0.5368578433990479,0.7
